"lemmaId","arabic","lemma","root","partOfSpeech","phoneticKeys","occurrenceCount","firstRef","meaning","reviewStatus"
"aqd-aqdh","Euqodap","Euqodap","Eqd","noun","aqdh","4","2:235:29","","auto"
"aqd-aqdt","Eaqadato","Eaqadato","Eqd","verb","aqdt","1","4:33:9","","auto"
"aqd-aqwd","Euquwd","Euquwd","Eqd","noun","aqwd","1","5:1:5","","auto"
"aql-aql","Eaqalu","Eaqalu","Eql","verb","aql","49","2:44:10","","auto"
"aqm-aqym","Eaqiym","Eaqiym","Eqm","adjective","aqym","4","22:55:16","","auto"
"aqr-aaqr","EaAqir","EaAqir","Eqr","noun","aaqr","3","3:40:11","","auto"
"aqr-aqr","Eaqara","Eaqara","Eqr","verb","aqr","5","7:77:1","","auto"
"arb-aarab",">aEoraAb",">aEoraAb","Erb","noun","aarab","10","9:90:4","","auto"
"arb-arb","Eurub","Eurub","Erb","adjective","arb","1","56:37:1","","auto"
"arb-arby","Earabiy~","Earabiy~","Erb","adjective","arby","11","12:2:4","","auto"
"arb-irbh","<irobap","<irobap","Arb","noun","irbh","1","24:31:52","","auto"
"arb-marb","ma_#aArib","ma_#aArib","Arb","noun","marb","1","20:18:12","","auto"
"ard-aard",">aEoraDa",">aEoraDa","ErD","verb","aard","34","4:16:8","","auto"
"ard-ard",">aroD",">aroD","ArD","noun","ard","483","2:11:7","","auto"
"ard-ardh","EuroDap","EuroDap","ErD","noun","ardh","1","2:224:4","","auto"
"ard-aryd","EariyD","EariyD","ErD","adjective","aryd","1","41:51:13","","auto"
"ard-iarad","<iEoraAD","<iEoraAD","ErD","noun","iarad","2","4:128:8","","auto"
"ard-mardwn","m~uEoriDuwn","m~uEoriDuwn","ErD","noun","mardwn","19","2:83:29","","auto"
"arf-aaraf",">aEoraAf",">aEoraAf","Erf","noun","aaraf","2","7:46:4","","auto"
"arf-arf","Earafa","Earafa","Erf","verb","arf","24","2:89:20","","auto"
"arf-atrf","{Eotarafu","{Eotarafu","Erf","verb","atrf","3","9:102:2","","auto"
"arf-marwf","m~aEoruwf","m~aEoruwf","Erf","noun","marwf","38","2:178:22","","auto"
"arf-marwfh","m~aEoruwfap","m~aEoruwfap","Erf","noun","marwfh","1","24:53:12","","auto"
